State Polsby.Popper Schwartzberg Convex.Hull Reock Districts
MD 08.08 27.67 49.63 24.68 8
NC 11.51 32.17 59.62 29.46 13
LA 11.10 32.14 59.53 32.14 6
WV 13.65 36.66 54.76 32.29 3
VA 14.42 37.28 67.58 27.89 11
HI 08.56 29.10 67.58 36.85 2
NH 16.45 40.53 67.53 23.81 2
IL 16.64 39.91 61.03 31.07 18
PA 17.14 39.52 62.42 34.15 18
RI 20.14 42.35 62.42 26.38 2
OH 17.22 39.91 63.74 33.79 16
MA 18.45 41.74 63.19 35.85 9
ME 14.04 37.04 72.83 36.62 2
TX 19.17 42.09 67.35 36.12 36
NJ 18.96 42.92 63.71 38.92 12
AL 18.43 42.41 69.20 37.70 7
KY 19.21 42.81 68.82 37.16 6
WA 21.19 44.74 71.39 34.00 10
AR 19.89 43.98 68.49 38.87 4
SC 20.50 43.85 72.91 37.42 7
TN 20.48 44.68 70.48 40.20 9
FL 24.61 48.18 69.24 36.93 27
OK 24.98 49.91 68.58 36.00 5
MI 26.03 49.38 69.73 35.10 14
CA 22.58 46.86 72.64 38.47 53
CO 24.60 48.00 69.77 39.12 7
UT 27.65 52.28 69.17 34.18 4
MS 23.33 47.58 76.84 38.08 4
WI 21.85 47.58 75.64 44.43 8
ID 25.01 49.51 77.41 37.69 2
CT 26.61 50.94 71.85 42.19 5
GA 25.83 50.46 75.50 44.07 14
MO 27.08 51.49 75.25 44.60 8
NY 31.81 55.24 73.53 40.35 27
OR 31.15 56.06 75.28 42.43 5
AZ 30.05 53.30 74.82 45.21 9
MN 33.03 56.85 76.80 40.88 8
NM 35.17 59.07 78.36 44.36 3
IA 39.97 62.92 78.02 44.13 4
KS 40.52 62.92 83.05 41.10 4
IN 41.03 63.59 81.73 44.07 9
NE 39.27 62.54 83.73 46.54 3
NV 52.44 72.22 89.20 48.12 4
