Region,Week,ContactType,Attempt Goal
1,1,Phone,100
1,2,Phone,200
1,3,Phone,300
1,4,Phone,1000
1,5,Phone,700
1,6,Phone,700
1,7,Phone,700
1,8,Phone,300
1,9,Phone,300
1,10,Phone,100
1,11,Phone,200
1,12,Phone,200
1,13,Phone,400
1,14,Phone,400
2,1,Phone,100
2,2,Phone,200
2,3,Phone,300
2,4,Phone,1000
2,5,Phone,700
2,6,Phone,700
2,7,Phone,700
2,8,Phone,300
2,9,Phone,300
2,10,Phone,100
2,11,Phone,200
2,12,Phone,200
2,13,Phone,400
2,14,Phone,400
3,1,Phone,100
3,2,Phone,200
3,3,Phone,300
3,4,Phone,1000
3,5,Phone,700
3,6,Phone,700
3,7,Phone,700
3,8,Phone,300
3,9,Phone,300
3,10,Phone,100
3,11,Phone,200
3,12,Phone,200
3,13,Phone,400
3,14,Phone,400
4,1,Phone,100
4,2,Phone,200
4,3,Phone,300
4,4,Phone,1000
4,5,Phone,700
4,6,Phone,700
4,7,Phone,700
4,8,Phone,300
4,9,Phone,300
4,10,Phone,100
4,11,Phone,200
4,12,Phone,200
4,13,Phone,400
4,14,Phone,400
5,1,Phone,100
5,2,Phone,200
5,3,Phone,300
5,4,Phone,1000
5,5,Phone,700
5,6,Phone,700
5,7,Phone,700
5,8,Phone,300
5,9,Phone,300
5,10,Phone,100
5,11,Phone,200
5,12,Phone,200
5,13,Phone,400
5,14,Phone,400
1,1,Walk,100
1,2,Walk,200
1,3,Walk,250
1,4,Walk,300
1,5,Walk,350
1,6,Walk,350
1,7,Walk,350
1,8,Walk,200
1,9,Walk,200
1,10,Walk,50
1,11,Walk,100
1,12,Walk,50
1,13,Walk,200
1,14,Walk,200
2,1,Walk,100
2,2,Walk,200
2,3,Walk,250
2,4,Walk,300
2,5,Walk,350
2,6,Walk,350
2,7,Walk,350
2,8,Walk,200
2,9,Walk,200
2,10,Walk,50
2,11,Walk,100
2,12,Walk,50
2,13,Walk,200
2,14,Walk,200
3,1,Walk,100
3,2,Walk,200
3,3,Walk,250
3,4,Walk,300
3,5,Walk,350
3,6,Walk,350
3,7,Walk,350
3,8,Walk,200
3,9,Walk,200
3,10,Walk,50
3,11,Walk,100
3,12,Walk,50
3,13,Walk,200
3,14,Walk,200
4,1,Walk,100
4,2,Walk,200
4,3,Walk,250
4,4,Walk,300
4,5,Walk,350
4,6,Walk,350
4,7,Walk,350
4,8,Walk,200
4,9,Walk,200
4,10,Walk,50
4,11,Walk,100
4,12,Walk,50
4,13,Walk,200
4,14,Walk,200
5,1,Walk,100
5,2,Walk,200
5,3,Walk,250
5,4,Walk,300
5,5,Walk,350
5,6,Walk,350
5,7,Walk,350
5,8,Walk,200
5,9,Walk,200
5,10,Walk,50
5,11,Walk,100
5,12,Walk,50
5,13,Walk,200
5,14,Walk,200
