voter_id,Eriksen_Support_Score,Election_Turnout_Score,Gender,Age,Vote_2012,Vote_2010,Vote_2008,Vote_2006,Eriksen_Field_ID
8,41.49157814,9.679164603,M,49,0,0,0,1,3 Undecided
2,12.28589735,14.7832903,M,37,0,0,1,0,3 Undecided
19,79.88163129,16.3632112,F,55,0,1,0,1,1 Strong Eriksen
23,19.68918329,26.72163574,M,37,0,0,0,1,3 Undecided
1,48.56368621,28.85248257,F,57,0,0,1,1,1 Strong Eriksen
13,56.11811775,29.49075018,M,21,1,1,0,1,1 Strong Eriksen
11,61.36001365,29.88650297,F,98,0,1,1,0,1 Strong Eriksen
18,41.24893734,35.7753551,F,71,0,1,0,1,3 Undecided
4,13.84234677,49.35625621,F,89,0,1,0,1,1 Strong Eriksen
15,98.05461929,58.8143758,M,81,0,1,0,1,1 Strong Eriksen
21,49.57872793,59.65468744,M,32,1,0,1,1,1 Strong Eriksen
16,98.57456215,63.53480915,F,30,0,0,0,0,1 Strong Eriksen
9,17.26727036,64.05000374,M,36,1,0,1,1,1 Strong Eriksen
22,49.70826919,65.01997267,F,75,0,1,1,0,1 Strong Eriksen
3,44.23058303,65.39492455,M,24,0,1,1,0,1 Strong Eriksen
25,38.48165734,65.76365988,F,93,1,1,0,0,3 Undecided
24,5.247692708,66.41927647,M,25,0,1,0,1,3 Undecided
5,93.39202586,71.67965427,F,62,0,1,0,1,1 Strong Eriksen
7,46.91417605,72.96334924,F,35,1,0,1,1,1 Strong Eriksen
6,22.41812125,75.0791944,F,81,1,1,0,1,3 Undecided
10,42.38306169,94.14383483,F,24,1,1,0,1,1 Strong Eriksen
14,6.101306034,94.25036933,F,35,1,1,1,0,1 Strong Eriksen
12,11.72418373,94.61798001,M,28,1,1,1,1,3 Undecided
17,92.91009791,97,M,93,1,0,1,1,1 Strong Eriksen
20,37.76795921,97.70374708,F,61,1,1,1,1,3 Undecided
